date,open,high,low,close,Volume,Close time,Quote asset volume,Trades,Tbbav,Tbqav,ig
1649267820000,2962.63000000,2962.96000000,2954.30000000,2954.30000000,55.37500000,1649267999999,163889.58679700,179,19.66140000,58211.99978300,0
1649268000000,2954.59000000,2995.75000000,2952.25000000,2985.70000000,328.43510000,1649268179999,978207.24002700,888,221.24960000,659205.22808400,0
1649268180000,2984.27000000,2990.19000000,2964.99000000,2968.05000000,162.79160000,1649268359999,485283.47833200,471,47.66450000,142033.60531700,0
1649268360000,2968.03000000,2978.16000000,2954.69000000,2963.65000000,123.85680000,1649268539999,367043.36607700,353,59.07350000,175101.05505600,0
1649268540000,2963.65000000,2964.91000000,2948.26000000,2953.13000000,62.79460000,1649268719999,185663.07429800,204,28.28740000,83653.51397500,0
1649268720000,2950.59000000,2955.23000000,2941.38000000,2942.54000000,59.06060000,1649268899999,174025.52445400,229,14.74120000,43451.49493300,0
1649268900000,2940.77000000,2941.37000000,2931.06000000,2931.06000000,111.47610000,1649269079999,327439.18255000,321,47.05520000,138236.92596200,0
1649269080000,2933.14000000,2939.86000000,2927.88000000,2937.53000000,79.43260000,1649269259999,232900.45842800,227,45.76690000,134224.97230700,0
1649269260000,2936.47000000,2943.97000000,2924.00000000,2926.25000000,78.93600000,1649269439999,231637.20271900,249,35.05310000,102897.47346900,0
1649269440000,2925.96000000,2938.73000000,2918.00000000,2935.29000000,104.05580000,1649269619999,304805.63149100,344,64.24610000,188238.97034500,0
1649269620000,2938.75000000,2941.20000000,2925.76000000,2929.99000000,39.02500000,1649269799999,114424.45707000,144,18.64970000,54678.12016700,0
1649269800000,2928.32000000,2953.83000000,2925.95000000,2953.83000000,105.20650000,1649269979999,309273.53257300,315,77.46580000,227716.22963500,0
1649269980000,2954.34000000,2958.45000000,2944.11000000,2950.19000000,105.16880000,1649270159999,310774.30955800,326,37.77320000,111584.95309000,0
1649270160000,2950.53000000,2962.95000000,2943.69000000,2957.31000000,126.16730000,1649270339999,372424.63233000,367,54.28860000,160205.74366700,0
1649270340000,2956.70000000,2963.73000000,2954.78000000,2960.58000000,44.19310000,1649270519999,130763.02824300,156,27.84220000,82377.47095300,0
1649270520000,2960.00000000,2970.92000000,2953.32000000,2963.56000000,91.02790000,1649270699999,269777.50817700,212,57.09420000,169222.04155500,0
1649270700000,2962.58000000,2973.50000000,2962.58000000,2971.28000000,47.15300000,1649270879999,140002.35692600,140,33.22060000,98632.54904200,0
1649270880000,2971.51000000,2972.91000000,2962.44000000,2967.93000000,67.51740000,1649271059999,200357.69747900,198,22.04880000,65459.18593400,0
1649271060000,2968.96000000,2973.03000000,2963.60000000,2964.42000000,151.98040000,1649271239999,451054.68497900,366,58.94660000,174913.04836300,0
1649271240000,2966.99000000,2974.17000000,2965.00000000,2971.47000000,115.00650000,1649271419999,341750.32694200,369,71.68390000,213018.61457500,0
1649271420000,2972.56000000,2975.69000000,2968.57000000,2974.56000000,57.91880000,1649271599999,172161.33462300,166,32.88250000,97740.13045800,0
1649271600000,2973.96000000,2984.55000000,2973.96000000,2982.24000000,32.46980000,1649271779999,96756.74543200,166,17.71490000,52789.31912900,0
1649271780000,2982.88000000,2985.20000000,2967.39000000,2968.24000000,35.84410000,1649271959999,106771.17479500,167,17.69000000,52683.64188000,0
1649271960000,2968.73000000,2968.85000000,2957.30000000,2967.01000000,90.07150000,1649272139999,266904.20195900,212,28.99050000,85885.70935100,0
1649272140000,2966.83000000,2980.43000000,2966.83000000,2973.85000000,54.01250000,1649272319999,160661.06536100,155,36.57360000,108794.34221600,0
1649272320000,2973.85000000,2979.23000000,2972.49000000,2977.09000000,24.52660000,1649272499999,72966.78572000,92,15.27280000,45438.64853600,0
1649272500000,2977.64000000,2980.26000000,2968.07000000,2968.83000000,46.85880000,1649272679999,139360.78100400,136,22.53430000,67013.10991900,0
1649272680000,2968.30000000,2972.79000000,2965.82000000,2967.10000000,32.28250000,1649272859999,95827.28994300,127,10.08260000,29926.39763600,0
1649272860000,2965.98000000,2968.82000000,2962.12000000,2966.59000000,89.49720000,1649273039999,265363.79285800,253,46.85080000,138904.13837700,0
1649273040000,2964.84000000,2968.44000000,2959.47000000,2960.31000000,44.13050000,1649273219999,130772.25281400,144,19.87230000,58896.41792400,0
1649273220000,2960.09000000,2961.03000000,2956.34000000,2959.42000000,19.41670000,1649273399999,57443.98034400,102,2.88050000,8520.96365800,0
